"country_total","pcs_local","pcs_total","methods_unique_ct","segment_length_days","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_total","class_total","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,1,2,4,21,1,0,1,2,1,6,1,3,10,1
1,0,0,10,365,0,0,0,1,1,5,1,2,8,1
1,0,0,9,730,1,1,0,3,1,6,1,3,10,1
1,1,4,3,4,1,0,1,1,1,6,1,1,8,1
1,1,2,5,212.94,0,0,1,3,2,6,1,1,8,1
1,1,4,5,7,0,0,0,2,2,6,1,3,10,1
1,0,2,8,30.42,1,0,0,2,1,0,1,2,3,0
1,0,1,12,243.36,0,1,1,1,1,3,1,3,7,1
1,0,3,3,4,0,0,1,2,1,4,1,1,6,0
1,0,0,5,20,0,0,0,1,1,1,1,3,5,0
1,0,1,20,730,1,0,1,1,1,4,0.5,3,7.5,1
1,0,0,7,365,1,0,0,1,1,2,1,3,6,0
1,0,0,20,152.1,1,0,1,1,1,4,1,3,8,1
1,1,2,14,121.68,1,0,0,1,1,6,1,3,10,1
1,1,3,3,0.0416666666666667,0,0,0,2,1,6,1,2,9,1
1,1,2,4,10,0,0,0,1,1,3,1,1,5,0
1,0,1,6,0,0,0,0,2,1,1,0.5,2,3.5,0
1,0,2,7,0,1,0,1,2,1,0,1,3,4,0
2,0,0,2,365,1,0,0,4,1,5,1,2,8,1
1,1,3,10,66.924,1,0,0,1,1,3,1,2,6,0
